Packet_ID,Time_s,Altitude_m,Speed_ms,Battery_V,Battery_Percent,RSSI_dBm,Sent_Time_ms,Received_Time_ms,Latency_ms,Packet_Lost,Status
1,0,0,0,12.6,100,-40,0,82,82,No,Take-off
2,60,20,5,12.4,95,-45,60000,60091,91,No,Normal
3,120,40,8,12.2,90,-48,120000,120104,104,No,Normal
4,180,60,10,12.0,84,-52,180000,180118,118,No,Normal
5,240,80,12,11.8,78,-58,240000,240130,130,No,Normal
6,300,100,13,11.6,72,-65,300000,300145,145,No,Normal
7,360,100,13,11.4,65,-72,360000,360162,162,No,Normal
8,420,100,13,11.3,60,-78,420000,420178,178,No,Signal Weak
9,480,100,13,11.2,55,-85,480000,480195,195,No,Signal Weak
10,540,100,12,11.1,50,-90,540000,540215,215,No,Return Home
11,600,80,10,11.0,45,-75,600000,600155,155,No,Return Home
12,660,50,8,10.9,40,-60,660000,660120,120,No,Landing
13,720,0,0,10.8,38,-40,720000,720088,88,No,Landed
















